# taxa  Frequency(n)   propn
#  755   00000000010000000000   1   
#  756   00000000010000000000   1   
#  757   00000000010000000000   1   
#  758   00000000010000000000   1   
#  759   00000000010000000000   1   
#  760   00000000010000000000   1   
#  761   00000000010000000000   1   
#  762   00000000010000000000   1   
#  763   00000000010000000000   1   
#  764   00000000010000000000   1   
#  765   00000000010000000000   1   
#  766   00000000010000000000   1   
#  767   00000000010000000000   1   
#  768   00000000010000000000   1   
#  769   00000000010000000000   1   
#  770   00000000010000000000   1   
#  771   00000000010000000000   1   
#  772   00000000010000000000   1   
#  773   00000000010000000000   1   
#  774   00000000010000000000   1   
#  775   00000000010000000000   1   
#  776   00000000010000000000   1   
#  777   00000000010000000000   1   
#  778   00000000010000000000   1   
#  779   00000000010000000000   1   
#  780   00000000010000000000   1   
#  781   00000000010000000000   1   
#  782   00000000010000000000   1   
#  783   00000000010000000000   1   
#  784   00000000010000000000   1   
#  785   00000000010000000000   1   
#  786   00000000010000000000   1   
#  787   00000000010000000000   1   
#  788   00000000010000000000   1   
#  789   00000000010000000000   1   
#  790   00000000010000000000   1   
#  791   00000000010000000000   1   
#  792   00000000010000000000   1   
#  793   00000000010000000000   1   
#  794   00000000010000000000   1   
#  795   00000000010000000000   1   
#  796   00000000010000000000   1   
#  797   00000000010000000000   1   
#  798   00000000010000000000   1   
#  799   00000000010000000000   1   
#  800   00000000010000000000   1   
#  801   00000000010000000000   1   
#  802   00000000010000000000   1   
#  803   00000000010000000000   1   
#  804   00000000010000000000   1   
#  805   00000000010000000000   1   
#  806   00000000010000000000   1   
#  807   00000000010000000000   1   
#  808   00000000010000000000   1   
#  809   00000000010000000000   1   
#  810   00000000010000000000   1   
#  811   00000000010000000000   1   
#  812   00000000010000000000   1   
#  813   00000000010000000000   1   
#  814   00000000010000000000   1   
#  815   00000000010000000000   1   
#  816   00000000010000000000   1   
#  817   00000000010000000000   1   
#  818   00000000010000000000   1   
#  819   00000000010000000000   1   
#  820   00000000010000000000   1   
#  821   00000000010000000000   1   
#  822   00000000010000000000   1   
#  823   00000000010000000000   1   
#  824   00000000010000000000   1   
#  825   00000000010000000000   1   
#  826   00000000010000000000   1   
#  827   00000000010000000000   1   
#  828   00000000010000000000   1   
#  829   00000000010000000000   1   
#  830   00000000010000000000   1   
#  831   00000000010000000000   1   
#  832   00000000010000000000   1   
#  833   00000000010000000000   1   
#  834   00000000010000000000   1   
#  835   00000000010000000000   1   
#  836   00000000010000000000   1   
#  837   00000000010000000000   1   
#  838   00000000010000000000   1   
#  839   00000000010000000000   1   
#  840   00000000010000000000   1   
#  841   00000000010000000000   1   
#  842   00000000010000000000   1   
#  843   00000000010000000000   1   
#  844   00000000010000000000   1   
#  845   00000000010000000000   1   
#  846   00000000010000000000   1   
#  847   00000000010000000000   1   
#  848   00000000010000000000   1   
#  849   00000000010000000000   1   
#  850   00000000010000000000   1   
#  851   00000000010000000000   1   
#  852   00000000010000000000   1   
#  853   00000000010000000000   1   
#  854   00000000010000000000   1   
#  855   00000000010000000000   1   
#  856   00000000010000000000   1   
#  857   00000000010000000000   1   
#  858   00000000010000000000   1   
#  859   00000000010000000000   1   
#  860   00000000010000000000   1   
#  861   00000000010000000000   1   
#  862   00000000010000000000   1   
#  863   00000000010000000000   1   
#  864   00000000010000000000   1   
#  865   00000000010000000000   1   
#  866   00000000010000000000   1   
#  867   00000000010000000000   1   
#  868   00000000010000000000   1   
#  869   00000000010000000000   1   
#  870   00000000010000000000   1   
#  871   00000000010000000000   1   
#  872   00000000010000000000   1   
#  873   00000000010000000000   1   
#  874   00000000010000000000   1   
#  875   00000000010000000000   1   
#  876   00000000010000000000   1   
#  877   00000000010000000000   1   
#  878   00000000010000000000   1   
#  879   00000000010000000000   1   
#  880   00000000010000000000   1   
#  881   00000000010000000000   1   
#  882   00000000010000000000   1   
#  883   00000000010000000000   1   
#  884   00000000010000000000   1   
