# taxa  Frequency(n)   propn
#  819   00000000000000000000   0   
#  820   00010010000000000000   2   
#  821   00000000000000000000   0   
#  822   00000000000000000000   0   
#  823   10000000100000000000   2   
#  824   00000000100000000000   1   
#  825   00000000000000000000   0   
#  826   01000000000000000000   1   
#  827   00000000000000000000   0   
#  828   00001000010000000000   2   
#  829   00000000000000000000   0   
#  830   00000110000000000011   4   
#  831   00000000000000000000   0   
#  832   00000000000000000000   0   
#  833   00000000000000000000   0   
#  834   00000000000000000000   0   
#  835   00000001000000000001   2   
#  836   00001001000000000000   2   
#  837   00000000001000000100   2   
#  838   00000000000000011000   2   
#  839   10000000000000001000   2   
#  840   00000000000000000000   0   
#  841   00000000000000000001   1   
#  842   00000000000000000000   0   
#  843   00000000000000000010   1   
#  844   00000000000100000000   1   
#  845   00000000000000000000   0   
#  846   00000000000000010000   1   
#  847   00000000000000000010   1   
#  848   00000000000000000000   0   
#  849   10000000000000100001   3   
#  850   00000000000010000000   1   
#  851   00000000000000000000   0   
#  852   00000000000000000000   0   
#  853   00000000000000000000   0   
#  854   00000000000000000000   0   
#  855   00000000000000000000   0   
#  856   00110000000000000000   2   
#  857   00000000000000000000   0   
#  858   00000000000000000000   0   
#  859   00010000000000000000   1   
#  860   00000000000000000000   0   
#  861   00000000000000010000   1   
#  862   01000000000000000110   3   
#  863   00000000000000000001   1   
#  864   10000000000000000000   1   
#  865   00000000000000000000   0   
#  866   00000000000000000000   0   
#  867   00000000000000000000   0   
#  868   00000000000000000000   0   
#  869   00010000001000000000   2   
#  870   00000000000000001000   1   
#  871   00000000000000000000   0   
#  872   00010000000000000000   1   
#  873   00000000000000000000   0   
#  874   00000000000000000000   0   
#  875   00000000000000000001   1   
#  876   00100000000000000000   1   
#  877   00000000000000000000   0   
#  878   00000000000010000000   1   
#  879   00000001000000000000   1   
#  880   00000100010000000000   2   
#  881   00000000100000000000   1   
#  882   00000000000000000000   0   
#  883   00000000000000000000   0   
#  884   00000001000001000000   2   
#  885   00001000000000000000   1   
#  886   00000000000001000000   1   
#  887   00000000000000000000   0   
#  888   00000000000000000000   0   
#  889   00000000001000000000   1   
#  890   00000000000000000000   0   
#  891   00000010000000000000   1   
#  892   00000100000001000000   2   
#  893   00000000010000000000   1   
#  894   00000000000000000001   1   
#  895   01000000000000000000   1   
#  896   00000000000000000000   0   
#  897   00000000000100000000   1   
#  898   00010001000000000100   3   
